# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,
Last Updated,Current Ver,Android Ver
4-Aug-18,7.1.4,4.0.3 and up
,,
17-May-17,1.4.0,5.0 and up
5-Oct-17,4.4.3,3.0 and up
19-Jul-18,1.3.0,4.0.3 and up
19-Jun-18,3.6,4.1 and up
29-Jan-18,1.0.5,4.1 and up
1-Aug-18,4.34.0,4.4 and up
7-Apr-16,1.2.4,4.1 and up
3-Jul-18,2.0.1,4.4 and up
13-Dec-17,3.3,4.0 and up
20-Aug-15,6.3.1,4.2 and up
3-Jun-18,2.1.4,5.0 and up
23-Jun-18,2.1.1,4.1 and up
17-Jul-18,3.3.270,4.0 and up
,,
25-Sep-17,1.4,4.1 and up
7-May-16,2.1,3.2 and up
,,
30-Jun-18,1.0.52,4.1 and up
8-May-17,1.3.3,4.1 and up
25-Jun-17,1.2.6,4.1 and up
,,
,,
30-Jul-18,1.12.0,4.0.3 and up
26-Jul-16,3,4.1 and up
17-Sep-15,1.4,3.0 and up
20-Jul-18,2.13.2,4.1 and up
,,
19-Feb-18,25,4.0.3 and up
12-Mar-18,1.0.26,5.0 and up
26-May-14,1.7.3,1.6 and up
9-Jan-18,Varies with device,Varies with device
26-Jul-18,1.05,4.0 and up
30-Jul-18,Varies with device,Varies with device
17-Jul-18,5.6.0,4.4 and up
16-Jul-18,3.1.4,4.4 and up
26-Jun-18,1.1.4.1296,4.4 and up
9-Aug-14,1,2.3 and up
29-Jul-15,1.1.0,2.2 and up
27-Sep-16,2.0.1027,3.0 and up
24-Feb-16,1,2.3 and up
20-Oct-17,Varies with device,Varies with device
20-Nov-13,Varies with device,Varies with device
30-Sep-16,Varies with device,2.3.3 and up
20-Aug-15,1.0.5,3.0 and up
7-Jun-17,Varies with device,Varies with device
8-Feb-18,2.3.5,4.0.3 and up
23-Mar-16,1.1.2,2.3 and up
19-Jan-14,2.4.4,2.0 and up
19-Jan-14,2.4.4,2.0 and up
14-Mar-16,2.0.2,2.3 and up
31-Dec-15,1.3.2,2.3 and up
4-Jan-18,2.3.4,4.0.3 and up
2-Sep-15,Varies with device,Varies with device
27-Nov-15,1.3.1,2.3 and up
13-Dec-13,1.0.2,2.2 and up
,,
21-Sep-17,1.0.4,4.4 and up
26-Aug-16,Varies with device,Varies with device
27-Jun-17,1,4.1 and up
18-Jul-18,2.2.5,4.0.3 and up
24-Sep-15,Varies with device,Varies with device
31-Dec-14,1.7.1,2.3 and up
6-Nov-14,1.1.5,2.3 and up
18-Jul-18,1.0.4,4.0 and up
24-Jan-14,1,2.1 and up
1-Jan-15,2,2.1 and up
16-May-18,1255162018,6.0 and up
6-Jun-18,3.1.4,4.2 and up
25-Jul-18,2.5,4.0.3 and up
9-Oct-15,1,2.1 and up
10-Dec-15,1.8.6,2.3 and up
17-Jun-15,v1.0,3.1 and up
15-Jun-15,1.0.0,4.0.3 and up
1-Aug-13,1.0.0,2.2 and up
5-Apr-18,Varies with device,Varies with device
15-Mar-16,0.0.3,3.0 and up
15-Jun-18,2.12.0,4.3 and up
10-May-18,11.0.0,4.0.3 and up
,,
26-Oct-16,1.1,4.1 and up
8-Jul-16,2.1.0,4.0.3 and up
31-May-18,v4.29.0.9,4.4 and up
12-May-18,1.0.5,4.4 and up
9-Dec-16,3.8.4,2.3.3 and up
10-Nov-17,1,4.1 and up
10-Nov-17,3.31.4,4.0 and up
22-Jun-18,1,4.0 and up
27-Jul-18,117,3.0 and up
18-Apr-18,5.1.2,4.0.3 and up
,,
15-Apr-18,1.4.0,4.1 and up
3-Oct-17,1.8.2.7,5.0 and up
2-Aug-18,Varies with device,Varies with device
28-Jun-18,8.3.0,4.4 and up
,,
21-Jul-18,1.16.5,4.1 and up
7-Jul-17,cli-6.5.0,4.0 and up
7-Jun-18,1.3,4.0.3 and up
10-Jul-17,1.1,4.0 and up
30-Sep-17,v2.7.11.6,4.1 and up
3-Aug-18,Varies with device,Varies with device
29-Jun-16,Varies with device,Varies with device
9-Mar-18,1,4.0 and up
,,
2-Aug-18,1.3,4.1 and up
23-Apr-18,1.43.3,4.0.3 and up
16-Jun-17,1.17,4.0 and up
9-Jun-18,1.4,4.0 and up
16-Apr-18,5.4,4.0 and up
1-May-17,1.0.1,4.1 and up
23-Jul-18,2.3.5,3.2 and up
17-Jul-17,v2.7.10.6,4.1 and up
8-Jun-18,3.52,4.0 and up
20-Feb-18,1.6,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
2-May-17,1.0.3,4.1 and up
9-Feb-18,1.5.1.182070924,5.0 and up
21-Feb-17,1.1.4,2.3 and up
3-Aug-18,3.0.5,4.1 and up
19-May-18,5.3.4,4.4 and up
11-Jun-18,Varies with device,Varies with device
31-Jul-18,4.6.4,4.0.3 and up
26-Oct-17,2,4.0 and up
20-Nov-14,1.0.6,4.0.3 and up
27-Jul-18,1.12,4.3 and up
18-Jun-18,4.0.2,4.4 and up
18-May-18,8.05.18.14250,4.0.3 and up
25-May-15,2,2.3 and up
20-Mar-15,1.0.1,2.3.3 and up
11-Dec-17,1,4.0 and up
18-May-18,8.05.18.14250,4.0.3 and up
9-Jan-18,1.0.1,5.0 and up
2-Aug-18,2.7.8,4.1 and up
27-Sep-17,1,4.0.3 and up
21-Jun-16,1,4.0.3 and up
3-Apr-18,3,5.0 and up
19-Sep-17,1.0.2,4.0 and up
2-Jun-18,1.3.0.6,4.1 and up
8-Jun-18,1.2.6,4.1 and up
31-Mar-17,1,4.2 and up
12-Aug-17,9.0.00,3.0 and up
27-Jul-18,Varies with device,Varies with device
19-Sep-17,1.0.1,4.0 and up
23-Jul-18,2.2.3,4.0.3 and up
12-Jun-18,1.0.8,4.4 and up
16-Jul-18,1.24.1,4.4 and up
25-Jan-18,5.26.0,5.0 and up
29-Sep-16,1.1,4.1 and up
22-Jul-18,2.0.3,4.0.3 and up
9-Jun-17,2,4.0.3 and up
17-May-17,8,4.0.3 and up
23-May-17,1,4.1 and up
28-Dec-15,1.0.0,4.0 and up
14-Mar-16,v1.0,4.3 and up
15-May-18,1.0.0,4.1 and up
30-Apr-18,2.1,4.3 and up
6-Mar-18,2.3.0,4.4 and up
18-Jun-18,1.2,5.1 and up
9-Feb-18,5.3.4,4.4 and up
5-May-17,1.35,4.0 and up
16-Oct-17,4.2,4.4 and up
19-May-18,1.04,4.0.3 and up
18-Oct-17,1.0.2,4.1 and up
16-Jan-17,1.2,4.0 and up
1-Jun-18,2.0.1,4.0.3 and up
3-Jul-18,3.1.10,4.1 and up
8-May-17,1.0.3,4.0.3 and up
27-Apr-18,30.0.0,4.4 and up
26-Jun-17,2.3,4.0 and up
12-Dec-17,1.1,1.6 and up
13-Jul-18,2.4.3,4.4 and up
20-Jun-17,2.0.3,4.0.3 and up
23-Mar-18,3.3,4.0 and up
,,
18-Dec-17,300000.0.95,4.0.3 and up
23-Feb-18,300000.0.98,4.0.3 and up
23-Jan-18,3.5.1,4.4 and up
2-Feb-18,300000.0.97,4.0.3 and up
29-Jun-17,300000.0.85,4.0.3 and up
6-Oct-17,300000.0.91,4.0.3 and up
23-Jul-18,Varies with device,Varies with device
30-Apr-17,Version 1.20,4.4 and up
3-Apr-17,300000.0.78,4.0.3 and up
17-Jan-18,300000.0.97,4.0.3 and up
8-Dec-17,300000.0.94,4.0.3 and up
28-Oct-17,1,2.1 and up
27-Jun-17,2.0.0,4.0 and up
,,
21-Apr-17,300000.0.80,4.0.3 and up
21-Jun-17,4.0.0,4.0 and up
16-Jul-18,300000.1.11,4.0.3 and up
21-Sep-17,300000.0.90,4.0.3 and up
,,
24-Dec-17,2.26.5.0,5.0 and up
1-May-17,300000.0.81,4.0.3 and up
3-May-17,300000.0.80,4.0.3 and up
11-May-17,300000.0.81,4.0.3 and up
18-Feb-18,300000.0.97,4.0.3 and up
14-Apr-18,1,5.0 and up
5-May-17,300000.0.79,4.0.3 and up
30-Nov-17,300000.0.93,4.0.3 and up
16-Feb-18,1.0.1,4.3 and up
27-Dec-17,1.1.2,5.0 and up
15-Feb-18,300000.0.97,4.0.3 and up
6-Jun-18,300000.1.08,4.0.3 and up
10-Jan-18,300000.0.96,4.0.3 and up
9-Jul-17,1,4.0 and up
22-Apr-17,300000.0.78,4.0.3 and up
17-Jul-17,300000.0.86,4.0.3 and up
28-Mar-18,1,2.3 and up
29-Aug-17,1.5.062,4.3 and up
10-Jan-18,300000.0.96,4.0.3 and up
21-Sep-17,1.1,4.1 and up
27-Feb-18,300000.0.98,4.0.3 and up
16-Jul-18,1.0.4,4.1 and up
26-May-17,300000.0.84,4.0.3 and up
5-May-17,300000.0.79,4.0.3 and up
12-Apr-18,300000.1.01,4.0.3 and up
8-Dec-16,1.0.0,2.3 and up
23-May-18,300000.1.08,4.0.3 and up
24-Nov-17,300000.0.93,4.0.3 and up
3-Aug-18,1.5.49,4.4 and up
26-Jul-18,5.7,5.0 and up
22-Jul-18,4.9,4.0 and up
29-Mar-18,1.2,2.3 and up
31-Jul-18,7.2.5,4.0 and up
3-Jun-18,1.3.4,4.0 and up
5-Apr-18,6.2,4.0 and up
29-Mar-18,1.1.9.1,4.1 and up
1-Jul-18,3.0.4,4.1 and up
31-Jul-18,1.0.16,4.0.3 and up
7-Jul-18,Varies with device,Varies with device
3-Aug-18,6.02.000,6.0 and up
23-Mar-17,1.9,1.6 and up
5-Aug-18,132,5.0 and up
11-Apr-18,20,4.1 and up
5-Aug-18,4.435,4.1 and up
14-Jul-18,1.1.4,4.1 and up
29-Jun-18,2.0.0,4.1 and up
22-Jun-18,1,4.4 and up
15-May-17,1,4.0.3 and up
2-Nov-17,1.5,4.0.3 and up
4-Nov-17,1.2-Release,4.1 and up
10-May-18,1,4.0 and up
24-Jun-18,20,5.0 and up
17-Jul-18,1.2.3,6.0 and up
27-May-18,1.2,4.0 and up
24-May-18,1.2.4,4.0.3 and up
3-Jun-15,0.33,2.3 and up
24-May-18,10001008,4.0.3 and up
5-Jun-18,1.0.4,4.1 and up
1-Mar-17,Varies with device,Varies with device
2-Apr-18,3.4.23,5.0 and up
10-Feb-18,2.0.949,4.4 and up
4-Jul-18,1.3.1-lite,5.0 and up
25-Sep-15,2.1,2.2 and up
5-Mar-18,2.2,4.1 and up
1-Mar-18,11.04,4.1 and up
18-Jun-18,1.4.7,5.0 and up
16-Jul-18,0.0.52,4.0.3 and up
4-Jul-18,1.3.1,5.0 and up
13-Sep-17,closed,4.0 and up
18-Jun-18,1.2,4.0.3 and up
28-Mar-18,1.1,2.3 and up
14-Mar-18,1.8,4.0 and up
,,
2-Aug-18,28.0.14,4.1 and up
7-Mar-16,1.6,4.0 and up
25-May-18,1.1.0,4.1 and up
13-Jun-18,2.0.3,4.3 and up
13-Jul-18,1.8.19106,4.0.3 and up
26-Jul-18,1.5.6,4.1 and up
4-May-17,Varies with device,Varies with device
23-Jan-18,1,4.1 and up
27-Jan-18,1,4.2 and up
25-Sep-17,4.3,2.3 and up
10-Jul-18,1.10.5,4.4 and up
25-Jul-18,4,4.4 and up
3-May-17,0.1,2.3 and up
4-Jun-18,2.13.0.65,4.4 and up
13-Jun-16,1.0.0,2.2 and up
8-Jan-18,1,3.2 and up
24-Mar-17,1,2.3 and up
25-Jul-17,3,4.0.3 and up
19-Oct-16,1.1,2.3.3 and up
3-Aug-18,1.0.9,4.1 and up
26-Jul-18,1,4.1 and up
22-Apr-18,1.6.3.1,5.0 and up
,,
4-Apr-18,1.0.59,2.3 and up
27-Feb-17,1.0.0,4.0.3 and up
,,
15-Aug-16,1,2.3.3 and up
29-Sep-17,1.0.1,4.1 and up
28-Aug-17,5,4.1 and up
20-Sep-17,1.35,4.3 and up
3-Jan-18,2,4.0.3 and up
4-Aug-18,1.1.1,4.1 and up
,,
26-May-18,1,4.0 and up
22-Apr-18,1.1,4.1 and up
22-Mar-18,1.1,4.0 and up
4-Jan-17,5.62.1,4.0.3 and up
29-Apr-18,1.1,4.1 and up
9-Jun-18,1.4.1,4.0.3 and up
13-Jul-18,0.1.0,4.4 and up
27-Apr-18,1.1,4.1 and up
7-Jun-18,1,4.0.3 and up
1-May-18,1.1,4.1 and up
30-Jul-18,1.0.0.0,4.3 and up
17-Mar-17,2.7,4.0.3 and up
29-Nov-17,1.2.1,4.1 and up
2-May-18,1.1,4.1 and up
6-May-18,2,4.0.3 and up
7-Sep-16,1,4.1 and up
9-Jan-18,2.1.9f0,4.0.3 and up
11-Nov-16,1.3.0,3.0 and up
5-May-18,2.0.0,5.0 and up
14-Sep-16,2,2.3.3 and up
20-Jun-18,1.3,4.1 and up
30-Mar-18,0.46.91,4.4 and up
12-Jul-18,2.5,4.0 and up
18-Jun-18,568,4.0 and up
26-Feb-17,1,4.1 and up
22-Feb-18,1,4.1 and up
26-Apr-15,1,2.3 and up
11-Jul-18,3.0.2,4.0.3 and up
29-May-17,1,4.1 and up
25-Dec-16,3.2,2.3 and up
1-Mar-16,1.0.2,4.0.3 and up
4-Aug-18,39.231,4.1 and up
17-May-18,2,4.0.3 and up
14-Mar-18,newversion,4.3 and up
10-Mar-18,1,4.1 and up
28-Mar-17,1.2,4.0.3 and up
18-Jul-18,1,4.1 and up
31-May-18,5.3.2,2.3 and up
1-Aug-18,1.180271.184729,4.0 and up
2-May-15,1.0.0.1,2.2 and up
13-Apr-18,1,4.1 and up
15-May-17,1,4.1 and up
12-Apr-18,1,4.1 and up
11-Feb-18,1,4.0.3 and up
18-Apr-17,1,2.3 and up
30-Jul-18,1.3,4.1 and up
7-May-18,1,4.0.3 and up
28-Jun-18,666,4.0 and up
29-May-17,3.8.8,2.2 and up
2-May-18,2.0.1.966,4.4 and up
17-Oct-14,5.3,2.3 and up
28-Jul-17,3.4.4.3.3,4.1 and up
11-Aug-15,1.1,4.0 and up
30-Jul-18,2.5,4.1 and up
11-Nov-16,1,2.3 and up
19-May-15,1.3,2.3.3 and up
13-Jul-18,1.1.5,4.0 and up
23-Jul-18,3.7.10-0d44b899,4.1 and up
30-Nov-17,3.3,4.1 and up
18-May-18,2.0.1,4.2 and up
23-Jul-18,3.7.10-0d44b899,4.1 and up
27-Oct-17,1.8.7,4.0 and up
15-Feb-18,6.0.3,4.4 and up
20-May-18,3.2.3,4.0 and up
18-Oct-17,5.29.77 Domain 427,4.4 and up
30-Jul-18,1.6.5,4.0 and up
24-Jul-18,Varies with device,Varies with device
15-May-18,2.6.22,4.0 and up
30-May-18,4.1,2.3 and up
5-Nov-17,1.1.7,2.2 and up
5-Jul-16,1.0.0,4.0.3 and up
24-Jul-18,Varies with device,Varies with device
22-Apr-18,10.1,4.1 and up
29-May-17,4,2.3 and up
7-Feb-18,3.1.0,4.0 and up
22-Nov-16,2.1.7.3,3.0 and up
13-Mar-18,2.9.1,4.0 and up
2-Nov-16,1.10.0,2.2 and up
5-May-18,Varies with device,Varies with device
16-Apr-18,2.137,4.1 and up
,,
24-Dec-17,Varies with device,Varies with device
17-Dec-16,3,2.3 and up
6-Apr-18,1.0.7,4.0.3 and up
24-Apr-18,4.4,4.0.3 and up
16-May-18,4.0.5,2.2 and up
2-Nov-17,1.1.3,4.1 and up
9-Aug-16,1,2.3.3 and up
22-Jan-18,1.4.5,4.1 and up
30-May-18,Varies with device,Varies with device
15-Feb-15,1.1,2.2 and up
25-Mar-17,1.1,2.3.3 and up
24-Jun-15,1,2.3.3 and up
3-Jul-18,Varies with device,Varies with device
26-Dec-17,1.7.22,4.1 and up
12-Jan-18,2,4.0.3 and up
11-Oct-17,1,2.3 and up
31-Jul-18,16.14.0.850,4.4 and up
19-May-18,3,4.4 and up
21-Jul-18,1.1.1,4.3 and up
12-Nov-17,1.6,4.0 and up
1-Jul-18,1,4.0 and up
11-Dec-17,1,4.1 and up
,,
18-Jul-17,1,4.0.3 and up
17-Feb-18,1.1,4.0.3 and up
30-May-17,1.54,1.6 and up
23-Jul-18,2.8.307,4.0.3 and up
6-Dec-17,2,4.0.3 and up
9-Jun-18,1,4.0 and up
22-Jun-18,1.5,4.2 and up
26-Oct-16,1.6.1,4.4 and up
8-Oct-16,1.2,4.1 and up
22-Mar-18,1,4.2 and up
14-Nov-17,5,4.0.3 and up
22-Jun-18,8,4.1 and up
4-Jan-18,5.0.108,4.4 and up
25-Jun-18,1.0.2,4.1 and up
28-Jul-14,Varies with device,Varies with device
1-Apr-18,1.0.9,4.1 and up
5-Apr-17,2.2,4.0.3 and up
13-Sep-17,1.2.2_comAds,4.0.3 and up
26-Jun-18,4.0.9,4.1 and up
10-Mar-16,2.0.0,4.1 and up
11-Dec-17,2.1.0,4.3 and up
15-Jun-18,3.30.4.83,4.1 and up
31-Jul-18,3.4.8,4.1 and up
19-Jul-18,Varies with device,Varies with device
16-Jul-18,5.39.1,4.0.3 and up
3-Apr-17,2.7.0,4.1 and up
26-Jul-18,1.1.7,4.1 and up
10-Apr-15,1.4.3.104,2.3.3 and up
23-May-18,1.34.1,2.3.3 and up
3-Aug-18,2.11,4.1 and up
14-May-18,7.2,4.4 and up
21-Oct-16,1.0.5,4.0.3 and up
26-Jul-18,Varies with device,Varies with device
1-Nov-17,3.5.3,4.0.3 and up
17-Apr-18,1.4.0,4.2 and up
1-Aug-18,Varies with device,Varies with device
10-May-18,Varies with device,Varies with device
3-Aug-18,1.32,4.2 and up
25-Jul-18,2.8.7.78579,4.4 and up
12-Jul-16,Varies with device,Varies with device
25-Jun-18,6,4.0.3 and up
10-May-17,1.2.6,4.0 and up
8-Jun-16,1.0.9,4.0 and up
17-Apr-18,1,5.0 and up
20-Dec-17,1.1.4,4.4 and up
20-Apr-18,1.6.6,4.1 and up
21-May-18,3.0.22,4.0 and up
28-May-18,6.2.6,4.1 and up
28-Jun-18,1.23.1.2,4.0.3 and up
3-Jun-18,1.0.3,4.0 and up
8-Jun-18,1.39,4.1 and up
13-Sep-17,1.8,4.0.3 and up
23-Feb-16,1.1.4,4.0 and up
24-May-18,1.11.0,4.0.3 and up
11-Mar-14,1.5,2.2 and up
29-Jul-18,5.5.9,4.1 and up
27-Jun-18,2.3.2,5.0 and up
24-Jul-18,1.2.97.3042,4.0.3 and up
27-Oct-17,Varies with device,Varies with device
18-Jul-18,5.1,4.1 and up
6-Jun-18,2.1,4.1 and up
2-Jul-18,1.8.0,4.0.3 and up
25-Jun-18,1,4.0 and up
12-Jul-18,1,4.1 and up
26-Jul-18,Varies with device,Varies with device
28-Jun-18,2.2,Varies with device
24-Feb-18,2,3.0 and up
19-Jul-18,2.29.3118,4.0.3 and up
12-Jul-18,1.9.22,4.0 and up
5-Jul-18,1.3.5,4.1 and up
24-Jul-18,2.0.1,4.0.3 and up
18-Apr-18,1.3,4.1 and up
26-Apr-18,2.1.3,4.1 and up
14-Mar-17,3.1.1,3.0 and up
26-Jul-18,4.0.14,4.1 and up
2-Aug-18,2.59.8,2.3 and up
10-May-17,1.3.6.4,4.0.3 and up
4-Aug-18,1.5,4.1 and up
5-Dec-17,1.7.7,2.1 and up
13-Sep-17,1.4,4.0.3 and up
24-May-18,2.2,4.1 and up
18-Jan-18,3,2.3 and up
24-Jul-18,1.42.2,4.1 and up
23-Dec-16,1.5,2.3 and up
17-Jan-18,2.4.0,4.0 and up
9-Jul-18,1.0.1,4.4 and up
7-Apr-18,1.9,4.1 and up
2-Jun-16,3,2.3 and up
25-May-17,4.4.3,4.0 and up
,,
31-Jul-17,1.3,4.0.3 and up
,,
21-Nov-17,1.03,6.0 and up
4-May-15,1.0.8,2.3 and up
12-May-16,1,4.0 and up
6-Sep-16,1,3.0 and up
3-Jul-18,1.6.7.1,4.1 and up
13-Dec-17,1.2.2.0,4.0 and up
3-Aug-15,1.1,2.1 and up
22-Sep-17,3.11,4.3 and up
,,
28-Jun-18,2.1.1,5.0 and up
18-Jul-16,1.1.2,4.0.3 and up
25-Jul-18,1.7.0,4.1 and up
31-Jul-18,3.0.188,4.0.3 and up
14-Mar-17,1.1,4.0.3 and up
27-May-18,1.0.15,4.4 and up
12-Sep-16,2.003,2.3 and up
3-Jul-18,1.6.7.1,4.1 and up
30-Aug-15,1.3.14,3.1 and up
3-Jul-18,1.6.7.1,4.1 and up
12-Aug-14,1,2.3.3 and up
3-Jul-18,1.6.7.1,4.1 and up
22-Mar-16,1.5.1,4.1 and up
6-Jun-18,3.4.4,4.1 and up
1-Nov-13,1.2,1.6 and up
1-Sep-17,1.8.2,4.4 and up
3-Jul-18,1.6.7.1,4.1 and up
19-Jan-18,1.1.4,4.1 and up
25-Apr-17,2,4.0.3 and up
14-Aug-16,1.0.103,4.4 and up
3-Jul-18,1.6.7.1,4.1 and up
,,
3-Aug-18,6.4,4.1 and up
7-Feb-18,1.01,2.2 and up
19-Jul-15,2.16,2.3 and up
30-Jul-17,1.3,4.0 and up
3-Jul-18,1.6.7.1,4.1 and up
15-Feb-18,1.0.0.4,4.1 and up
19-Jan-16,3.3,4.0 and up
4-Aug-18,1.5.1,4.0.3 and up
3-Jul-18,1.6.7.1,4.1 and up
26-Jul-18,1.10.1,4.4 and up
13-Jun-18,1.0.63,4.0 and up
26-Jul-18,Varies with device,Varies with device
31-Mar-18,Varies with device,Varies with device
4-Nov-15,1.4.6,2.3 and up
28-Aug-17,1,4.4 and up
15-Mar-18,1.0.0,4.0.3 and up
12-Apr-18,2.5.3,4.1 and up
17-May-17,1.0.3,4.0 and up
16-Jan-18,3.1.6z,4.0.3 and up
15-Aug-17,3,4.0.3 and up
,,
1-Nov-17,1.0.0,4.1 and up
9-Jul-18,7.5.3.20547,4.1 and up
3-Apr-18,1.1,4.1 and up
29-Jan-18,Varies with device,4.0 and up
6-Jul-18,2.1.22,4.4 and up
16-Feb-18,1,4.0.3 and up
25-May-18,1.1.0,4.4 and up
22-Dec-17,1.0.1,4.1 and up
2-Aug-18,Varies with device,Varies with device
22-Jun-16,2.4.0,4.0 and up
25-Jul-18,1.0.21,4.4 and up
23-Feb-14,2.4.0,1.6 and up
5-Aug-18,Varies with device,Varies with device
18-Jul-18,1.7.0m,4.0.3 and up
1-Aug-18,Varies with device,Varies with device
5-Sep-16,Varies with device,Varies with device
28-Mar-18,0.5.10011,4.0.3 and up
2-Aug-18,1.10.6,4.1 and up
9-Jul-18,3.1.2b,4.0.3 and up
4-Jun-18,3.0.5.2,4.0 and up
21-Jun-18,3.6.1a,4.0.3 and up
5-Aug-18,1.375,4.0.3 and up
19-Jul-18,2.3.3,4.2 and up
13-Jun-18,Varies with device,4.2 and up
17-Mar-18,1,7.0 and up
21-Dec-16,1.2.3.1,2.3 and up
1-Aug-18,1.1.0.3,5.0 and up
2-Aug-18,1.3.15,4.4 and up
16-Jul-18,1.5.341,4.0.3 and up
9-Mar-18,0.46.0,4.4 and up
20-Jun-18,1.131.2,4.0 and up
1-Aug-18,1.12.0.1654,4.2 and up
13-Jun-18,1.7.5,4.0.3 and up
1-Aug-18,Varies with device,Varies with device
16-Mar-18,1.0.4,7.0 and up
13-Mar-18,1.5,7.0 and up
20-Jul-18,4.4.4,4.1 and up
4-Aug-18,1,Varies with device
10-Jul-18,3.7.1,5.0 and up
3-Aug-18,4.70.30,4.1 and up
1-Aug-18,6.19.5,4.4 and up
31-Jul-18,Varies with device,Varies with device
29-Jun-18,1.1.4,4.0 and up
3-Aug-18,1.1.7,7.0 and up
30-Jul-18,7.6.5,4.3 and up
8-Mar-18,1.2.2.122,7.0 and up
12-Aug-17,2.14,4.0 and up
23-Jul-18,0.8.6,7.0 and up
18-Dec-17,2.1,4.0 and up
28-Jun-18,1.2,7.0 and up
17-Jul-18,2.25,5.0 and up
24-Jun-18,1,4.1 and up
17-Mar-18,1.0.1,7.0 and up
27-Mar-18,1.0.0,7.0 and up
4-Jun-18,1.4,7.0 and up
19-May-17,1.4,4.0 and up
26-Feb-18,v3.4.0-3,4.0.3 and up
,,
10-Jul-18,1,7.0 and up
31-Dec-16,1.3,4.0 and up
9-Nov-17,Varies with device,Varies with device
7-Mar-18,1.1,7.0 and up
30-May-18,2.0.0,7.0 and up
17-Aug-17,1.0.2,4.1 and up
26-Jul-18,1.23,7.0 and up
25-Apr-17,3.0.15,4.2 and up
3-Aug-18,0.8,7.0 and up
5-Jul-18,1.0.2,4.4 and up
10-Jun-17,1,4.1 and up
9-Jun-18,5.1.13,4.1 and up
25-Jul-18,6.3.3,4.1 and up
24-Jun-18,7.8,4.1 and up
26-Jun-18,Varies with device,Varies with device
14-Sep-17,1.0.10,4.1 and up
,,
27-Feb-18,1.5,4.0 and up
20-Jun-18,20180620,2.3 and up
23-Jul-18,Varies with device,Varies with device
18-Jun-18,3.3.0,4.2 and up
12-Mar-18,1.0.5,4.0 and up
8-Jun-18,1.3,2.3 and up
29-Jul-18,1.4,4.0.3 and up
18-Oct-17,2.4,4.0 and up
,,
4-Jun-18,Varies with device,Varies with device
18-Dec-17,1.11.39,4.1 and up
25-Sep-17,1.3.1,4.0.3 and up
6-Feb-18,Varies with device,Varies with device
12-Jan-18,Varies with device,Varies with device
9-Jan-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
30-Jul-18,2.3.5,4.0.3 and up
31-Jul-18,5.17.2.009,5.0 and up
24-May-17,3.1.0 (build 1210),2.3.3 and up
11-Jul-18,5.9.0,4.2 and up
19-Jul-18,3.1.4,4.1 and up
25-Jul-18,Varies with device,Varies with device
26-Jul-18,2.70.206190089,Varies with device
30-Sep-14,Varies with device,Varies with device
26-Dec-16,Varies with device,Varies with device
13-Jun-18,18.6.2,4.1 and up
8-Jun-18,5.9.6,4.1 and up
29-Jul-18,Varies with device,Varies with device
18-Jul-13,3.4.0,2.1 and up
24-May-18,1.2.1,4.1 and up
23-Jan-18,Varies with device,4.1 and up
26-Jun-18,1.28.01,4.1 and up
24-Jan-16,3.5.0,Varies with device
3-Dec-16,Varies with device,Varies with device
29-May-18,Varies with device,Varies with device
11-Jul-18,1.4.0,5.0 and up
22-May-18,2.1.0,3.0 and up
28-Jun-18,4.05,4.0.3 and up
26-Jul-15,1.1,2.3 and up
2-Apr-15,1.07,2.3 and up
6-Jun-18,2.9.8,4.4 and up
30-Jul-18,Varies with device,Varies with device
26-Dec-17,2.4.0,4.3 and up
25-May-18,3.1.9,4.1 and up
31-Jul-18,Varies with device,Varies with device
14-Feb-18,5.1.0,2.3 and up
3-Oct-16,1.3,3.0 and up
19-Jun-18,Z (Special Edition R9),4.4 and up
15-Nov-14,1.07,2.3 and up
6-Jun-17,1.6,2.3 and up
18-Oct-16,1.4,3.0 and up
26-Nov-17,1.2,4.0.3 and up
2-Dec-14,1.85,2.3 and up
3-Mar-17,1.5,4.2 and up
9-Jul-18,1.3.0,4.4 and up
22-May-17,1.1,4.2 and up
1-Jun-18,5.9.006,4.1 and up
7-Dec-17,0.1,2.3 and up
1-Jun-18,5.9.006,4.1 and up
17-Jul-18,1.5.0,4.4 and up
26-Jan-18,1.1.0,4.2 and up
26-Jun-18,1.6.5,4.1 and up
6-Apr-17,1.2,2.3 and up
17-Aug-17,1,4.1 and up
3-Mar-18,1.6,4.1 and up
14-May-16,1.0.1,2.3 and up
26-Jul-15,1.1,2.3 and up
27-Jun-17,1.5.14,2.3.3 and up
22-Feb-17,1.2,4.2 and up
2-Apr-15,1.07,2.3 and up
13-Jul-18,1.8.19106,4.0.3 and up
8-Jun-16,1.0.9,4.0 and up
1-Aug-18,Varies with device,Varies with device
17-Jul-18,1.8.0716,4.0.3 and up
9-May-18,1.8.0502,2.3 and up
23-Jul-18,1.4,5.0 and up
19-Jul-18,3.5,5.0 and up
24-Jul-18,3.3,2.3 and up
14-Dec-17,2.2.5,4.1 and up
26-Sep-17,2.1.4,4.1 and up
18-Jun-18,2.47.2,2.3 and up
10-May-18,2.5.9,2.3.3 and up
1-Aug-18,5.06,4.4 and up
21-Dec-17,1.0.0,4.1 and up
